,playlistID,playlistName,nTracks,type,owner,description,url,nFoll,category,TrackName,TrackID,SampleURL,ReleaseYear,Genres,Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,reducedGenre
0,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,It's All Coming Back to Me Now,5EQzuYfTZt7B2LqlvTF49l,https://p.scdn.co/mp3-preview/90b551f65e376f64a9759bcbc97163cb5b268a18?cid=0c571addac5347aa9932ddc72e415d79,1996-03-11,['canadian pop'],75,0.384,0.438,-9.149,0.0362,0.753,0.0,0.101,0.287,87.903,0,1,456867,pop
1,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Nothing Compares 2 U,5GHY1DFWKz3Prg2V0Iodqo,https://p.scdn.co/mp3-preview/dd12ed39f779a9cb61c7009f322192a2e6ee37ba?cid=0c571addac5347aa9932ddc72e415d79,1990-07-01,"['lilith', 'new wave pop', 'singer-songwriter']",82,0.512,0.574,-7.016,0.0273,0.0425,2.31e-05,0.105,0.161,119.917,5,1,280040,pop
2,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",1fTDYdx5zYfWJSX0JlKO8o,https://p.scdn.co/mp3-preview/e620fcb663e46edcc50650b7aa43b1ec423e717c?cid=0c571addac5347aa9932ddc72e415d79,2021-05-28,"['rock drums', 'soft rock']",72,0.566,0.748,-6.549,0.0301,0.0643,5.16e-06,0.0925,0.614,96.586,8,1,258133,rock
3,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Stop,3FteycP8CaXS1MhjcXekVT,https://p.scdn.co/mp3-preview/802f76fab6211f6ec34175d0ef1fd64224dae92f?cid=0c571addac5347aa9932ddc72e415d79,1997-01-01,"['dance pop', 'girl group', 'pop']",71,0.722,0.845,-4.446,0.0308,0.287,0.0,0.0561,0.965,130.13,2,0,204754,pop
4,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Lovefool,7aQjPecQdIuNd1sz3KCDhD,https://p.scdn.co/mp3-preview/f548f1a669b14992fc5d1c2339f8eb114c175f3c?cid=0c571addac5347aa9932ddc72e415d79,1996-01-01,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'swedish pop']",81,0.704,0.636,-6.029,0.0252,0.0344,0.0,0.35,0.89,111.845,9,1,193953,pop
5,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,This Kiss,0TxXEbxn52XsuAhxb6VFZw,https://p.scdn.co/mp3-preview/19a30534184c493975bfb6bff3a60fdafc27f272?cid=0c571addac5347aa9932ddc72e415d79,2007,"['contemporary country', 'country', 'country dawn', 'country road']",58,0.48,0.832,-5.663,0.0426,0.137,0.0,0.354,0.648,186.875,11,1,194907,country
6,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Iris,6Qyc6fS4DsZjB2mRW9DsQs,https://p.scdn.co/mp3-preview/30e2a899a94a089d5c341b782b00aa802fd87610?cid=0c571addac5347aa9932ddc72e415d79,1998-09-11,"['neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",86,0.315,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,11,0,289533,pop
7,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Man! I Feel Like A Woman!,6sxptembJVty4sNtcPMAVz,https://p.scdn.co/mp3-preview/7b05c56fc21c36d70e11b8235a6f11c2ce8906b6?cid=0c571addac5347aa9932ddc72e415d79,1997-11-04,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",81,0.657,0.639,-7.527,0.0412,0.581,0.0,0.278,0.674,124.882,10,1,234493,country
8,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Kiss Me,754kgU5rWscRTfvlsuEwFp,https://p.scdn.co/mp3-preview/3d12e73912650703fb1cc8c800b00d60b10d10e7?cid=0c571addac5347aa9932ddc72e415d79,1997-11-22,"['lilith', 'pop rock']",82,0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,3,1,208680,pop
9,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Can You Feel The Love Tonight - Remastered,6s1KHEalfzcHpOK56RV2rt,https://p.scdn.co/mp3-preview/59044b8db95aee81c0eb7d931392ebaf2a50e867?cid=0c571addac5347aa9932ddc72e415d79,2017-11-10,"['glam rock', 'mellow gold', 'piano rock', 'rock']",69,0.299,0.379,-7.708,0.0294,0.834,7.33e-05,0.102,0.148,123.958,10,1,241893,rock
10,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Amazed,5oQx6XZyrOOkGbme8DA9GO,https://p.scdn.co/mp3-preview/11e4b0cb1b2aa7ba75bb5387ed0431addf574d13?cid=0c571addac5347aa9932ddc72e415d79,1995,"['contemporary country', 'country', 'country road']",57,0.56,0.541,-7.97,0.0288,0.23,0.0,0.118,0.278,139.76,1,1,240000,country
11,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"Because You Loved Me (Theme from ""Up Close and Personal"")",28UMiBhn383n9S7GL4tsxD,https://p.scdn.co/mp3-preview/0eb419f98637381b3d5ef232c909eb541231ee37?cid=0c571addac5347aa9932ddc72e415d79,1996-03-11,['canadian pop'],76,0.615,0.467,-9.883,0.0327,0.314,0.0,0.099,0.177,119.919,1,1,273667,pop
12,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Ironic - 2015 Remaster,1d6KS9GH06JAd19uiBy9IE,https://p.scdn.co/mp3-preview/8d47a6af92173911fd7a688d66a3b5ad6c79a25d?cid=0c571addac5347aa9932ddc72e415d79,1995,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']",76,0.408,0.582,-8.305,0.0508,0.218,0.0,0.159,0.365,114.926,11,1,230000,pop
13,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,You're Still The One,1wb4P4F0sxAQ2KXrRvsx6n,https://p.scdn.co/mp3-preview/5b44f9cd36bf1b7dc44d8f7d989e90276db96106?cid=0c571addac5347aa9932ddc72e415d79,1997-11-04,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",81,0.585,0.494,-8.751,0.0353,0.363,0.0,0.0886,0.634,133.822,3,1,212200,country
14,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Bitch,3i6qNxyVgIdUZTTi5m25EM,https://p.scdn.co/mp3-preview/18b81cf4d729146cbe904ad1b55b49c9017ab822?cid=0c571addac5347aa9932ddc72e415d79,1997-01-01,"['lilith', 'new wave pop', 'pop rock']",73,0.617,0.886,-5.953,0.055,0.0112,9.63e-05,0.0523,0.629,96.328,9,1,252760,pop
15,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"I'll Be There for You - Theme From ""Friends""",15tHagkk8z306XkyOHqiip,https://p.scdn.co/mp3-preview/f5af199ecbfb6d21aa5d2943b5d70b339ba42d1a?cid=0c571addac5347aa9932ddc72e415d79,1995-05-02,['pop rock'],71,0.32,0.917,-5.903,0.0771,0.0717,0.0,0.169,0.715,190.757,9,1,188360,pop
16,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"My Heart Will Go On - Love Theme from ""Titanic""",33LC84JgLvK2KuW43MfaNq,https://p.scdn.co/mp3-preview/68c13229ec9b1b4a5ea580e801061fd7791857c4?cid=0c571addac5347aa9932ddc72e415d79,1997-11-14,['canadian pop'],78,0.428,0.276,-11.729,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,4,1,280000,pop
17,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,C'est La Vie,0P6CPJrNJ1Zt755CQTWg3S,https://p.scdn.co/mp3-preview/a1674d8e5376de5fd4296de36f7e0ec922a6b9fa?cid=0c571addac5347aa9932ddc72e415d79,1998-03-25,"['europop', 'girl group']",66,0.705,0.936,-5.109,0.0306,0.0978,0.000124,0.0506,0.938,109.004,7,1,173693,pop
18,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,How Do I Live,7BD50ATrF3Vab5FQy7vtK8,https://p.scdn.co/mp3-preview/5e704fd1bfd34cd66d310881c4002dd8ff5eec85?cid=0c571addac5347aa9932ddc72e415d79,2003-11-18,"['contemporary country', 'country', 'country dawn', 'country road']",71,0.577,0.462,-7.989,0.0279,0.128,0.0,0.0822,0.258,128.303,2,1,266973,country
19,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Hold On,4VZDv8sASBS8UruUBGTFdk,https://p.scdn.co/mp3-preview/5f417305b52c635a7df30bd45cbe6ad740ca49db?cid=0c571addac5347aa9932ddc72e415d79,1990-05-08,"['girl group', 'mellow gold', 'new wave pop', 'soft rock']",71,0.679,0.657,-9.897,0.0255,0.4,0.0,0.0497,0.546,97.8,5,1,266867,pop
20,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Fantasy,6xkryXuiZU360Lngd4sx13,https://p.scdn.co/mp3-preview/1c23e1ae9b28c452b4d6f2ed4eea9f532dc13f0f?cid=0c571addac5347aa9932ddc72e415d79,1995-10-03,"['dance pop', 'pop', 'urban contemporary']",80,0.669,0.727,-7.588,0.0353,0.139,0.0,0.123,0.807,102.322,7,1,243493,pop
21,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I Will Always Love You,4eHbdreAnSOrDDsFfc4Fpm,https://p.scdn.co/mp3-preview/db431eff82899d9af76c9156d66d29aa951c21d8?cid=0c571addac5347aa9932ddc72e415d79,1992-11-17,['dance pop'],80,0.332,0.214,-12.518,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,4,1,271093,pop
22,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,That Don't Impress Me Much,4I7DV3MIgxJGlObiy9s6nx,https://p.scdn.co/mp3-preview/d036750db85e14b7b04005b42ccddfc7ec228a2e?cid=0c571addac5347aa9932ddc72e415d79,1999-11-09,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",65,0.743,0.873,-4.943,0.0507,0.14,0.0,0.142,0.965,125.005,10,0,238707,country
23,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",7B3UAPLYAbwXVgbHSKEaTw,https://p.scdn.co/mp3-preview/bd968ae2f5a0fbb763569d06af8c2573e034d40a?cid=0c571addac5347aa9932ddc72e415d79,1992-03-30,['canadian pop'],67,0.463,0.4,-9.999,0.0308,0.643,2.46e-05,0.131,0.121,77.314,6,0,249240,pop
24,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Sometimes,1UI0l2L66HJ9AtoEOlHzv4,https://p.scdn.co/mp3-preview/46dfb87510e4a2b57328dc3cd7fc957c61316c42?cid=0c571addac5347aa9932ddc72e415d79,1999-01-12,"['dance pop', 'pop']",72,0.745,0.742,-5.693,0.0259,0.42,0.0,0.102,0.806,95.996,10,1,245067,pop
25,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Torn,1Jaah2tmN9Hv81A87KZ1MU,https://p.scdn.co/mp3-preview/c35abb89d4f217aa1bb309faab7c7266cdb46c59?cid=0c571addac5347aa9932ddc72e415d79,1997-11-10,"['dance pop', 'europop', 'lilith', 'new wave pop', 'pop rock']",79,0.575,0.886,-5.182,0.034,0.0647,0.000187,0.709,0.609,96.31,5,1,244667,pop
26,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,You Oughta Know - 2015 Remaster,3jS7bB0oXVOwGFZn3aE5NV,https://p.scdn.co/mp3-preview/4a21163f1a57a63106d1cfaa3802cfeda8c85cc4?cid=0c571addac5347aa9932ddc72e415d79,1995,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'neo mellow', 'pop rock', 'singer-songwriter']",71,0.665,0.834,-7.737,0.0576,0.21,0.0,0.452,0.411,105.292,4,1,249493,pop
27,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,When You Say Nothing At All,0gcjc7Vt5xtcfmJgf6g2IO,https://p.scdn.co/mp3-preview/d1ba92cd21629c1e088338b883e854578e843be3?cid=0c571addac5347aa9932ddc72e415d79,2000-01-01,['europop'],75,0.461,0.448,-10.665,0.0246,0.161,1.18e-06,0.0811,0.418,173.86,7,1,256827,pop
28,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I Want It That Way,47BBI51FKFwOMlIiX6m8ya,https://p.scdn.co/mp3-preview/4eec31d974fd622ac7858affd9759f2017dd87e4?cid=0c571addac5347aa9932ddc72e415d79,1999-05-18,"['boy band', 'dance pop', 'pop']",84,0.689,0.694,-5.83,0.027,0.257,0.0,0.148,0.482,99.039,6,0,213307,pop
29,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,https://p.scdn.co/mp3-preview/774ab81029159a5ebb4ff45a1ec8dc7adc4b2da8?cid=0c571addac5347aa9932ddc72e415d79,1996-01-01,"['dance pop', 'girl group', 'pop']",84,0.768,0.864,-6.145,0.0324,0.101,0.0,0.162,0.891,110.008,11,1,173027,pop
30,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Angel,3xZMPZQYETEn4hjor3TR1A,https://p.scdn.co/mp3-preview/c04e50c5ed8ac6245d61581376207422bb6e0dcb?cid=0c571addac5347aa9932ddc72e415d79,1997-08-29,"['canadian pop', 'canadian singer-songwriter', 'ectofolk', 'lilith', 'permanent wave', 'pop rock']",70,0.532,0.0744,-16.092,0.0355,0.949,1.22e-05,0.106,0.125,117.131,1,1,270400,pop
31,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,The Power of Love,5kK1Iru9ogP3Iy1zsANU1n,https://p.scdn.co/mp3-preview/7d88cb368e189a99716a48392e213035d4e0486a?cid=0c571addac5347aa9932ddc72e415d79,1993-11-09,['canadian pop'],73,0.546,0.519,-9.072,0.0291,0.36,0.00046,0.24,0.247,140.054,8,1,342400,pop
32,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,https://p.scdn.co/mp3-preview/174e01719c3b06ee1437cb13f892e539df14b6d1?cid=0c571addac5347aa9932ddc72e415d79,1999-01-12,"['dance pop', 'pop']",82,0.759,0.699,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,0,0,211067,pop
33,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Hero,4FCb4CUbFCMNRkI6lYc1zI,https://p.scdn.co/mp3-preview/5fe0438557a659c437922d454a9ec3b19376a7f8?cid=0c571addac5347aa9932ddc72e415d79,1993-08-31,"['dance pop', 'pop', 'urban contemporary']",73,0.501,0.378,-9.37,0.029,0.735,0.0,0.119,0.178,119.987,4,1,257733,pop
34,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,You Were Meant For Me,7y7aSSTiQfO0Ace4F7yxzE,https://p.scdn.co/mp3-preview/1391f657536744de665e3ff060edde0c5f651c44?cid=0c571addac5347aa9932ddc72e415d79,1995-02-28,"['alaska indie', 'ectofolk', 'lilith', 'permanent wave', 'pop rock', 'singer-songwriter']",67,0.582,0.33,-7.928,0.0347,0.791,1.48e-06,0.105,0.407,111.873,6,1,254480,pop
35,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,She's so High,7mnGQesk1TzQLzQ9bYWZPR,https://p.scdn.co/mp3-preview/ad27f259430b96e32b82733a5f3272cb6bf3f2e5?cid=0c571addac5347aa9932ddc72e415d79,1999-02-23,['pop rock'],75,0.537,0.84,-4.626,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,9,1,224693,pop
36,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Spice Up Your Life,5qGwqO0lkbBXw4xNfzT7SF,https://p.scdn.co/mp3-preview/2f6ebdd76c0d1d2c11c65a240133170df782ef58?cid=0c571addac5347aa9932ddc72e415d79,1997-01-01,"['dance pop', 'girl group', 'pop']",73,0.556,0.993,-5.067,0.0464,0.0105,0.0341,0.403,0.702,124.016,1,1,173667,pop
37,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,"Circle of Life - From ""The Lion King""/Soundtrack Version",5vKkaZHPzuqQheytfKuXzp,https://p.scdn.co/mp3-preview/06326a462c23068990c751ff7cac5a6c0ffd35e6?cid=0c571addac5347aa9932ddc72e415d79,1994-01-01,"['glam rock', 'mellow gold', 'piano rock', 'rock']",54,0.3,0.387,-15.321,0.0331,0.264,0.215,0.106,0.137,160.587,10,1,291600,rock
38,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,There She Goes,4c6vZqYHFur11FbWATIJ9P,https://p.scdn.co/mp3-preview/05fbc5cfd595d3835de83f41b533fa89d921da70?cid=0c571addac5347aa9932ddc72e415d79,1990,['britpop'],73,0.533,0.761,-10.632,0.0298,0.013,0.829,0.207,0.917,122.777,7,1,162187,pop
39,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,When You Believe - from The Prince of Egypt,0JN7vUgUolHGHFrOR8xk7S,https://p.scdn.co/mp3-preview/4370f823bb018c753ee52ad8359aaf75f4935b46?cid=0c571addac5347aa9932ddc72e415d79,1998-11-17,['dance pop'],69,0.436,0.391,-9.62,0.0326,0.554,0.0,0.12,0.126,125.354,1,0,272893,pop
40,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Bring It All Back,3v0uXfyMEZ1lGvBOv1Y4ar,https://p.scdn.co/mp3-preview/848d9b0fa6c9bdb43421bf9e838db47a09f5e2d7?cid=0c571addac5347aa9932ddc72e415d79,1999-01-01,['europop'],64,0.679,0.903,-4.914,0.0463,0.333,0.0,0.372,0.872,108.114,4,1,213600,pop
41,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Genie In a Bottle,11mwFrKvLXCbcVGNxffGyP,https://p.scdn.co/mp3-preview/06d1b4ae1b631b29bbfd8b9a66a37f18dd73713a?cid=0c571addac5347aa9932ddc72e415d79,1999,"['dance pop', 'pop']",76,0.633,0.8,-6.945,0.166,0.209,0.000123,0.137,0.913,175.716,1,1,217573,pop
42,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,She's The One,4lO57zZGFcj7vSY4QhfVDq,https://p.scdn.co/mp3-preview/829cee8479f33f302e4d8d10c1be8547e25f3061?cid=0c571addac5347aa9932ddc72e415d79,1998,"['dance rock', 'europop']",70,0.243,0.609,-8.451,0.0323,0.663,1.13e-05,0.221,0.333,166.668,10,1,258027,pop
43,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,As Long as You Love Me,3UpS7kBnkVQYG13pDDFTC4,https://p.scdn.co/mp3-preview/9e45a104bc8d916c0386fa87e91f2fe2f3de0bf7?cid=0c571addac5347aa9932ddc72e415d79,1997-08-12,"['boy band', 'dance pop', 'pop']",78,0.804,0.801,-4.892,0.0305,0.275,3.29e-05,0.215,0.826,98.12,0,1,221107,pop
44,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I Love You Always Forever,1PEqh7awkpuepLBSq8ZwqD,https://p.scdn.co/mp3-preview/1a90ea8a54b976577d552a3dc2c5e4fb0d567961?cid=0c571addac5347aa9932ddc72e415d79,1996-04-16,"['lilith', 'new wave pop']",75,0.744,0.453,-11.977,0.0348,0.627,0.421,0.0898,0.122,103.773,5,1,239960,pop
45,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Don't Let the Sun Go Down on Me,0q90594hk25yo0xZmBTqCd,https://p.scdn.co/mp3-preview/19fcf736d3e2f832824f4288d869e9920ad0ed8c?cid=0c571addac5347aa9932ddc72e415d79,1998-11-09,['new wave pop'],61,0.433,0.551,-8.096,0.0289,0.501,1.77e-06,0.473,0.253,136.467,0,1,346960,pop
46,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Never Ever,7ziHnshbknkpFLDW5yGBjO,https://p.scdn.co/mp3-preview/b535277a472e2f4998cd12a460dd49ac23fc923a?cid=0c571addac5347aa9932ddc72e415d79,1997,"['dance pop', 'europop', 'girl group', 'new wave pop']",64,0.738,0.541,-5.485,0.0311,0.559,0.0,0.0492,0.309,134.187,1,1,387573,pop
47,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I'd Do Anything For Love (But I Won't Do That) - Single Edit,3IuSgREoO5y88HdIcE2Xee,https://p.scdn.co/mp3-preview/0b1b445c7bb2aef55cadf645e159cdbb7afd49e3?cid=0c571addac5347aa9932ddc72e415d79,1993-09-14,['album rock'],68,0.419,0.672,-6.353,0.0917,0.623,0.0,0.412,0.304,105.211,2,1,316467,rock
48,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I'll Stand by You,3Nf8oGn1okobzjDcFCvT6n,https://p.scdn.co/mp3-preview/17b0d153b1bacadb1f96bf74a99da63b6c1d40a2?cid=0c571addac5347aa9932ddc72e415d79,1994-06-01,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock']",74,0.438,0.606,-6.549,0.0305,0.3,4.49e-06,0.0754,0.266,133.822,7,1,240760,rock
49,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,Out Of Reach,0HKD13PLq2WicViBBhSrOl,https://p.scdn.co/mp3-preview/7c85f376ca9618554d26d16c4768431da5ce20af?cid=0c571addac5347aa9932ddc72e415d79,2001-01-01,"['british soul', 'europop', 'new wave pop']",71,0.51,0.48,-6.567,0.0452,0.503,0.0,0.106,0.496,182.862,11,1,196987,pop
50,37i9dQZF1DXbTxeAdrVG2l,All Out 90s,150,user,spotify,The biggest songs of the 1990s.,https://open.spotify.com/user/spotify,7856376,nineties,I Try,5TAf4lnZCZTLlZHNZMLFLi,https://p.scdn.co/mp3-preview/48c1c7bdf2f8bb250d80fc123752dee589154b51?cid=0c571addac5347aa9932ddc72e415d79,1999-07-03,['neo soul'],75,0.593,0.642,-7.284,0.0299,0.313,0.000582,0.0804,0.736,76.403,2,1,239440,soul
